name,link,reviews
"شريط السلطة, الضيافة, صالة الطعام, البوفيه, السير, المقبلات, شيشه, إنديد.كوم, لحم غزال, نعام شائع",https://www.google.com/maps/place/%D9%81%D9%88%D8%BA%D9%88+%D8%AF%D9%8A+%D8%AA%D8%B4%D8%A7%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3da90b9592965:0x617a43cb535c2433!8m2!3d21.575971!4d39.142943!16s%2Fg%2F11bzpxxnjp!19sChIJZSlZuZDawxURMyRcU8tDemE?authuser=0&hl=ar&rclk=1,0
"تجربة, لحم البقر المنغولي, الديناميت الروبيان, الطلب, شريمب, موظف, مدير, دجاج بالسمسم, الشكر, مدير فرع",https://www.google.com/maps/place/%D8%A8%D9%8A+%D8%A7%D9%81+%D8%AA%D8%B4%D8%A7%D9%86%D8%BA%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x15c3d0107e1fb03d:0x79ecd814448027af!8m2!3d21.5533962!4d39.1675351!16s%2Fg%2F1ptw3cvjl!19sChIJPbAffhDQwxURryeARBTY7Hk?authuser=0&hl=ar&rclk=1,0
"شاهد, الاخت, دعاء, ايدام, المقبلات, شروق, جمبري, البتر, تكي, بالاك",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%B0%D8%A7+%D8%A8%D8%A7%D9%8A+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A+%7C+The+Bay+Restaurant%E2%80%AD/data=!4m7!3m6!1s0x15c3d1c4f38ba40b:0xbe32e67e2a0c90db!8m2!3d21.5990463!4d39.165409!16s%2Fg%2F11k5l6frq6!19sChIJC6SL88TRwxUR25AMKn7mMr4?authuser=0&hl=ar&rclk=1,0
"مطعم فاخر, واغيو, موهيتو, شطيرة الهامبرغر سليدر, شرمب, بوب كورن, أسماك الرمال, كعكة التمر, ذاكرة الوصول العشوائي, أرز الفطر",https://www.google.com/maps/place/%D9%85%D9%8A%D8%A7%D8%B2%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3daaa5d22bbaf:0x25bf25dea672e719!8m2!3d21.5504485!4d39.1529419!16s%2Fg%2F11ggm_j89x!19sChIJr7siXarawxURGedypt4lvyU?authuser=0&hl=ar&rclk=1,0
"موهيتو, كبسة, شطيرة الهامبرغر سليدر, أرانشيني, خبز الثوم بالجبنة الكريمية الكورية, لحم البقر دونبوري, خبز الجبن, برجر الكمأة, الكيل, سندويشات التاكو قصيرة الضلع",https://www.google.com/maps/place/BURNT+BY+BUNS/data=!4m7!3m6!1s0x15c3db5a1cb0fae5:0x86a0bbc41bd662c3!8m2!3d21.5825007!4d39.1439145!16s%2Fg%2F11hjb37_0q!19sChIJ5fqwHFrbwxURw2LWG8S7oIY?authuser=0&hl=ar&rclk=1,0
"البقلاوة, الريش, شاشليك, عصير, غنم, فيليه, الحلى, شيشة, خياليه, أسادو",https://www.google.com/maps/place/%D8%B3%D9%84%D8%B7%D8%A7%D9%86+%D8%B3%D8%AA%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x15c3daa62814ba5d:0x7213e325b36e3d28!8m2!3d21.5581398!4d39.1509182!16s%2Fg%2F11bxf96crj!19sChIJXboUKKbawxURKD1usyXjE3I?authuser=0&hl=ar&rclk=1,0
"خصوصية, اسم على مسمى, طاجن, الريش, اسكندر كباب, الإسكندر الأكبر, عصير الرمان, ستارة, قشقوان, اللحوم الباردة",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%AE%D9%8A%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3da6cd91655bb:0x743b549dcbaec4f0!8m2!3d21.6095822!4d39.1410604!16s%2Fg%2F1hc1wq7dk!19sChIJu1UW2WzawxUR8MSuy51UO3Q?authuser=0&hl=ar&rclk=1,0
"الطلب, السوشي, كوبون, الكينوا, المقبلات, خصوصيه, الحلى, الشمندر, اطباق, راب",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%86%D9%8A%D9%86%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3cf8d09aec829:0x6275f203583da42f!8m2!3d21.5227492!4d39.1632488!16s%2Fg%2F11c45hvx1k!19sChIJKciuCY3PwxURL6Q9WAPydWI?authuser=0&hl=ar&rclk=1,0
"بطاطا حلوة, بودنج الموز, خبز أسمر, طلبنا, الواقيو, الاغاني, واجيو برجر, اسمر, الخوخ, باشن فروت",https://www.google.com/maps/place/%D8%B3%D9%83%D8%B4%D9%86-%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3c5cc7907fe21:0x3475ec1d56b2efef!8m2!3d21.5498501!4d39.1435337!16s%2Fg%2F11jyjbf09l!19sChIJIf4HeczFwxUR7--yVh3sdTQ?authuser=0&hl=ar&rclk=1,0
"الطلب, فول سوداني, المقبلات, الخصوصيه, مشوي, روبيان, ايام الاسبوع, ادمان, ليمون نعناع, عجبتني",https://www.google.com/maps/place/%D8%AA%D9%83%D8%B3%D8%A7%D8%B3+%D8%B1%D9%88%D8%AF%D9%87%D8%A7%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x15c3d01086a1516f:0x73d20e4b0bce310e!8m2!3d21.5534298!4d39.1674852!16s%2Fg%2F1ptvzgp8y!19sChIJb1GhhhDQwxURDjHOC0sO0nM?authuser=0&hl=ar&rclk=1,0
"البط, موسيقى, واغيو, مطعم فاخر, رومنسية, وسابي, جمبري, باشن فروت, المقبلات, التوت",https://www.google.com/maps/place/%D8%AA%D9%88%D9%83%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3dac5f3aaeb69:0x9bae544e9a659fd3!8m2!3d21.5650829!4d39.1273139!16s%2Fg%2F11g_k764k!19sChIJaeuq88XawxUR059lmk5Urps?authuser=0&hl=ar&rclk=1,0
"السلمون, انتركوت, فيليه, 88, شريحة لحم ريب آي, والسلطة, مقلية, طلبنا, كعكة الشوكولاتة الذائبة, requeue ريكيو",https://www.google.com/maps/place/Swiss+Butter+-+Le+Mall/data=!4m7!3m6!1s0x15c3d1f0efc8c5c7:0x5b5998f1e97f9efe!8m2!3d21.553583!4d39.1674497!16s%2Fg%2F11sv7f17ms!19sChIJx8XI7_DRwxUR_p5_6fGYWVs?authuser=0&hl=ar&rclk=1,0
"والسلطه, روبوت, شريط السلطة, بيري بيري, المشوي, مستوى الخدمة, وعرض, البوفيه, الديناميت الروبيان, تراجع السبانخ",https://www.google.com/maps/place/%D8%A8%D9%8A%D8%A7%D8%AA%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3dae9e62145bf:0x36758436fe590929!8m2!3d21.5758945!4d39.127302!16s%2Fg%2F1tk1w3bs!19sChIJv0Uh5unawxURKQlZ_jaEdTY?authuser=0&hl=ar&rclk=1,0
"فتة, مشكلة, جميل, كباب بالكرز, فيروز, باللبن, مقدم, ام علي, مانتي, امير",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%84%D9%8A%D9%84%D9%89%E2%80%AD/data=!4m7!3m6!1s0x15c3daa618c5ffad:0xe094795c8e1c958d!8m2!3d21.5584179!4d39.150423!16s%2Fg%2F11b6dplj3s!19sChIJrf_FGKbawxURjZUcjlx5lOA?authuser=0&hl=ar&rclk=1,0
"المعسل, وليد على, دخول, خصوصيه, مزعج, بوفيه إفطار, شهاب, اسعاره, التراس, نظام اللباس",https://www.google.com/maps/place/Shababik+Jeddah/data=!4m7!3m6!1s0x15c3dab2a21abef7:0xfccd2cb9afdef517!8m2!3d21.551213!4d39.1436!16s%2Fg%2F11b6gr_s70!19sChIJ974aorLawxURF_Xer7kszfw?authuser=0&hl=ar&rclk=1,0
"ولي العهد, محمد بن سلمان, سيبيتشي, مطبخ ياباني, مطبخ هجين, مطبخ بيروفي, واغيو, نيجيري, سمو, chupe",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%83%D9%88%D8%B1%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3dbad14fa5f09:0x663aec7682f96d19!8m2!3d21.5649333!4d39.1269279!16s%2Fg%2F11p9tl8wwn!19sChIJCV_6FK3bwxURGW35gnbsOmY?authuser=0&hl=ar&rclk=1,0
"لحم الغزال, البوفيه, النعامة, المشوي, والجمبري, المقبلات, السوشي, غنم, لحم الديك الرومي, الفرد",https://www.google.com/maps/place/%D8%A8%D8%B1%D8%A7%D8%B3%D8%A7+%D8%AF%D9%8A+%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3cf91fff8f065:0x460b3608b5d745b8!8m2!3d21.519319!4d39.1645759!16s%2Fg%2F11cn96ktcy!19sChIJZfD4_5HPwxURuEXXtQg2C0Y?authuser=0&hl=ar&rclk=1,0
"خبرة, بوفيه, الفندق, atmosphere, فريق, الضيافة, الستيك, العمل, الاخت, الوافل",https://www.google.com/maps/place/%D8%B0%D8%A7+%D9%88%D8%AA%D8%B1%D9%81%D8%B1%D9%88%D9%86%D8%AA+%D9%83%D9%8A%D8%AA%D8%B4%D9%86%E2%80%AD/data=!4m7!3m6!1s0x15c3db127b382133:0x133511012c696bdc!8m2!3d21.6227073!4d39.1080017!16s%2Fg%2F11rq8ps5rn!19sChIJMyE4exLbwxUR3GtpLAERNRM?authuser=0&hl=ar&rclk=1,0
"الفتوش, فوتشيني, فتة, جمبري, الاغاني, المقبلات, بيني, الطفولة, عشق, نافورة الملك فهد",https://www.google.com/maps/place/%D9%86%D9%83%D9%87%D8%A9+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15c3c57d551f9e33:0xd699ad9eef215861!8m2!3d21.5169398!4d39.1542367!16s%2Fg%2F1tdwxy3d!19sChIJM54fVX3FwxURYVgh756tmdY?authuser=0&hl=ar&rclk=1,0
"والاطباق, الموسيقى, المقبلات, ماك المقلية والجبن, كرات, شريحة لحم ديان, تشيز كيك بالكراميل المملح, كعكة الجبن المخملية الحمراء, فطيرة الراعي, معكرونة الجبن",https://www.google.com/maps/place/The+Cheesecake+Factory/data=!4m7!3m6!1s0x15c3d0107f1532ff:0xf75c4c60a7170c9c!8m2!3d21.5534298!4d39.1674852!16s%2Fg%2F1ptxxdt0g!19sChIJ_zIVfxDQwxURnAwXp2BMXPc?authuser=0&hl=ar&rclk=1,0
"الجريش, سمبوسة, مندي, مقلوبة, السليق, كبيبة, المرقوق, الملوخية, مثلوثه, حصبة ألمانية",https://www.google.com/maps/place/%D8%B7%D9%88%D9%81%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15c3db80a171f4bd:0xf710b89dd051c24f!8m2!3d21.596375!4d39.1437078!16s%2Fg%2F11gng8vcvz!19sChIJvfRxoYDbwxURT8JR0J24EPc?authuser=0&hl=ar&rclk=1,0
"بودنج الموز, حجم, بطاطا حلوة مقلية, مشعل, خبز أسمر, البامية, الملفوف, الخصوصية, اسمر, خبز بر",https://www.google.com/maps/place/%D8%B3%D9%83%D8%B4%D9%86+%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3da53adfb8b5d:0x5bd5725f269dbab!8m2!3d21.604811!4d39.1162058!16s%2Fg%2F11bbt983kb!19sChIJXYv7rVPawxURq9tp8iVXvQU?authuser=0&hl=ar&rclk=1,0
"خبرة, atmosphere, العملاء, الموسيقى, الضيافة, صالة الطعام, البطاطا, مشوي, ادامامي, نكهة",https://www.google.com/maps/place/ROKA+Jeddah/data=!4m7!3m6!1s0x15c3c5bc570da3ef:0x1e21f9af7c108bcf!8m2!3d21.548616!4d39.1384023!16s%2Fg%2F11sskdq7b3!19sChIJ76MNV7zFwxURz4sQfK_5IR4?authuser=0&hl=ar&rclk=1,0
"المسخن, فتة, الكشري, البنجر, مبتكر, معصوب, عصير الرمان, طبلية, المكرونة بالجبن, مصاصة ثلج",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%85%D9%8A%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x15c3da7d520cf4d3:0x6ec8f9237f770bb9!8m2!3d21.5902308!4d39.144156!16s%2Fg%2F11hcv5hgm1!19sChIJ0_QMUn3awxURuQt3fyP5yG4?authuser=0&hl=ar&rclk=1,0
"خبره, بولجوجي, سلطة, كمية, الرامن, المقبلات, المطبخ الآسيوي, التقليدية, جاجانغميون, الثقافه",https://www.google.com/maps/place/%D8%B3%D9%88%D8%B1%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x15c3daa790c2f2f3:0xb79c4836a07e8490!8m2!3d21.5589777!4d39.1532335!16s%2Fg%2F11bzwmtn3v!19sChIJ8_LCkKfawxURkIR-oDZInLc?authuser=0&hl=ar&rclk=1,0
"البحر, الغروب, الشيشة, مكيفات, مشوي, النهار, فوتشيني, المقبلات, كرات, بيني",https://www.google.com/maps/place/%D8%A8%D9%84%D9%88+%D8%A7%D9%88%D8%B4%D9%86%E2%80%AD/data=!4m7!3m6!1s0x15c3db265cfa1485:0x756d7a40ad6fed1b!8m2!3d21.5722175!4d39.109369!16s%2Fg%2F11cn8sfpgq!19sChIJhRT6XCbbwxURG-1vrUB6bXU?authuser=0&hl=ar&rclk=1,0
"ملعب أطفال, باستا, لافا كيك, المقبلات, خصوصيه, بيبسي, بطاطا تكساس, الطفولة, مستوى الخدمه, الموسيقى",https://www.google.com/maps/place/%D8%B4%D9%8A%D9%84%D9%8A%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x15c3cf8d723211a5:0x2d26a11a229feafe!8m2!3d21.5227136!4d39.1636744!16s%2Fg%2F1v0bv_jx!19sChIJpREyco3PwxUR_uqfIhqhJi0?authuser=0&hl=ar&rclk=1,0
"الضيافه, ديم سم, واغيو, فطور وغداء, الفندق, بط بكين, بيلميني, سلطة البط, ذكرى سنوية, روبيان الوسابي",https://www.google.com/maps/place/%D8%B4%D8%A7%D9%86%D8%BA+%D8%A8%D8%A7%D9%84%D8%A7%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x15c3db31cbc26a59:0x3a9c00a9b001e1af!8m2!3d21.622886!4d39.1080209!16s%2Fg%2F11pzrf196n!19sChIJWWrCyzHbwxURr-EBsKkAnDo?authuser=0&hl=ar&rclk=1,0
"الطلب, الموظف, بتع, شوربة عدس, جميل, بتر, ايدام, المقبلات, جمبري, خصوصية",https://www.google.com/maps/place/%D9%A5+%D8%B1%D9%8A%D9%81%D8%B1%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x15c3dac01bd7958f:0xacae8f109f873b7c!8m2!3d21.5725028!4d39.1325702!16s%2Fg%2F11c0pq8c3h!19sChIJj5XXG8DawxURfDuHnxCPrqw?authuser=0&hl=ar&rclk=1,0
"المدير, الاستاذ, كباب بالكرز, كمان, الشكر, الموظف, شيشبرك, المعسل, الكنافة النابلسية, الشمام",https://www.google.com/maps/place/%D9%83%D8%B1%D9%85+%D8%A8%D9%8A%D8%B1%D9%88%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x15c3db714d83c047:0x9fec02f2e653d2d0!8m2!3d21.570123!4d39.124616!16s%2Fg%2F11hbnvh2d0!19sChIJR8CDTXHbwxUR0NJT5vIC7J8?authuser=0&hl=ar&rclk=1,0
"المشوي, محشي, المقبلات, ام علي, القرع, فتة, السليق, فتوش, الحمص, لحم خروف مشوي",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%87%D8%B1%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x15c3d18cbbfd83e3:0x31f6b1529752ef17!8m2!3d21.5620416!4d39.1627236!16s%2Fg%2F11fjpvt3cc!19sChIJ44P9u4zRwxURF-9Sl1Kx9jE?authuser=0&hl=ar&rclk=1,0
"جمبري, جيوزا الروبيان, الواقيو, لحم الصدر باو, الأضلاع القصيرة, wagyu المنزلق, كعكة الدجاج على البخار, خدمة صف السيارات, سلطة اللفت, بطاطا مقلية",https://www.google.com/maps/place/Da+Bao/data=!4m7!3m6!1s0x15c3d130ffc36c45:0xc8f9c37c1a397609!8m2!3d21.5620506!4d39.161459!16s%2Fg%2F11lfg_y7lr!19sChIJRWzD_zDRwxURCXY5GnzD-cg?authuser=0&hl=ar&rclk=1,0
"درويش, فتة, الاستاذ, الشكر, ام علي, حمص الكمأة, الحلى, مستكة, فل, واغيو",https://www.google.com/maps/place/%D9%86%D9%8A%D8%A7%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3db21934eec8f:0x27ed8e54ab2f8bfe!8m2!3d21.622996!4d39.1081681!16s%2Fg%2F11sf81d3c8!19sChIJj-xOkyHbwxUR_osvq1SO7Sc?authuser=0&hl=ar&rclk=1,0
"كباب بالكرز, مطبخ أرمني, تبولة, الرمان, الفتوش, الريش, ورق العنب, بطاطا حرة, كبة باللبن, كبة مشوية",https://www.google.com/maps/place/%D9%84%D9%88%D8%B3%D9%8A%D9%86+%D8%A7%D9%84%D9%85%D8%B0%D8%A7%D9%82+%D8%A7%D9%84%D8%A3%D8%B1%D9%85%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3c55284ab5eb1:0x1477034e1a171323!8m2!3d21.5480809!4d39.1440386!16s%2Fg%2F11c40sd23m!19sChIJsV6rhFLFwxURIxMXGk4DdxQ?authuser=0&hl=ar&rclk=1,0
"السوشي, الموظفه, ساتي, توم يم, الاخت, اندومي, جمبري, كفته, الديناميت الروبيان, سيزلنج الدجاج",https://www.google.com/maps/place/Asian+Ocean+Restaurant/data=!4m7!3m6!1s0x15c3cfe295977729:0x5b16192015661295!8m2!3d21.5100016!4d39.177684!16s%2Fg%2F11l97k2dfn!19sChIJKXeXleLPwxURlRJmFSAZFls?authuser=0&hl=ar&rclk=1,0
